"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
9.569268750E-1,2.265052315E-3,3.304019454E-3,-3.003714681E-2,3.030308887E-2
9.669088750E-1,1.417804757E-3,-8.352802377E-3,4.840325117E-3,9.757470221E-3
9.768898750E-1,6.485016688E-3,8.823635713E-3,1.801176310E-2,2.107926940E-2
9.868718750E-1,4.210711896E-4,-8.989669229E-3,-3.108613729E-2,3.236262328E-2
9.968528750E-1,4.928248625E-3,-1.360038606E-2,-6.835395098E-3,1.599939879E-2
1.006834875E0,1.157427102E-2,-1.610843958E-3,2.175573528E-2,2.469555801E-2
1.016816875E0,8.693074925E-3,-3.439514972E-3,-7.134187818E-3,1.175995114E-2
1.026797875E0,1.149108981E-2,-1.652458775E-2,-3.976632893E-2,4.456981111E-2
1.036779875E0,9.830810615E-3,1.443325798E-3,-2.060617268E-2,2.287667763E-2
1.046760875E0,1.037048121E-2,5.988238617E-3,-1.910987020E-2,2.255200703E-2
1.056742875E0,8.793049750E-3,6.256676065E-3,-5.293952107E-2,5.402829454E-2
1.066724875E0,1.514165158E-2,-4.392597419E-3,-3.093469441E-2,3.472059681E-2
1.076705875E0,8.340724222E-3,4.864353519E-3,-2.493837476E-3,9.972403976E-3
1.086687875E0,5.676520353E-3,8.089714218E-3,-3.527566731E-2,3.663385133E-2
1.096668875E0,8.652979243E-3,6.108380626E-3,-2.344967365E-2,2.573079008E-2
1.106650875E0,1.010280550E-2,1.038706698E-2,-3.990724683E-3,1.502942856E-2
1.116631875E0,4.872326631E-3,1.500007702E-2,3.194333911E-3,1.609178817E-2
1.126613875E0,6.392348598E-3,1.016510119E-2,-1.731185138E-2,2.106873516E-2
1.136595875E0,1.487461655E-2,6.572361756E-3,1.457184613E-2,2.183549533E-2
1.146576875E0,5.071623609E-3,4.395365710E-3,1.861402631E-2,1.978692955E-2
1.156558875E0,4.062394473E-3,5.633541034E-3,2.028983831E-4,6.948453151E-3
1.166539875E0,9.151106628E-3,-6.188030667E-3,1.337667525E-2,1.734848457E-2
1.176521875E0,1.148320064E-2,7.412716281E-4,6.939475536E-3,1.343762260E-2
1.186503875E0,1.621488289E-2,6.842178782E-3,2.205862105E-2,2.821915307E-2
1.196484875E0,4.792887296E-3,-9.201142006E-4,7.988466024E-3,9.361301629E-3
1.206466875E0,5.580058425E-3,3.689880869E-3,1.951449752E-2,2.062929680E-2
1.216447875E0,4.647438663E-3,1.745540053E-3,2.640017867E-2,2.686289318E-2
1.226429875E0,9.373761633E-3,1.273395661E-3,-3.687838912E-3,1.015328023E-2
1.236411875E0,1.301152919E-2,-1.052577846E-2,-2.539270341E-2,3.041186102E-2
1.246392875E0,4.249827999E-3,-7.624504259E-3,-3.538734913E-3,9.418956842E-3
1.256374875E0,-4.137017564E-3,-3.608545186E-3,2.028983831E-4,5.493421561E-3
1.266355875E0,2.464157717E-3,-5.878877412E-3,-2.778889239E-2,2.851062632E-2
1.276337875E0,2.453889687E-3,5.608863956E-3,-3.063297808E-2,3.123876239E-2
1.286318875E0,9.233515252E-3,-2.593971044E-3,-9.934419394E-4,9.642272376E-3
