"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.297130417E0,-9.639953613E-2,1.419049072E-1,9.807604980E0,9.809105226E0
1.307111417E0,-9.370513916E-2,1.387614441E-1,9.804611206E0,9.806040806E0
1.317093417E0,-9.699829102E-2,1.428030396E-1,9.810299377E0,9.811818142E0
1.327074417E0,-9.879455566E-2,1.462458801E-1,9.809101868E0,9.810689460E0
1.337055417E0,-9.669891357E-2,1.395098877E-1,9.813143463E0,9.814611470E0
1.347036417E0,-9.684860229E-2,1.399589539E-1,9.805509338E0,9.806986364E0
1.357017417E0,-9.879455566E-2,1.416055298E-1,9.807305603E0,9.808825398E0
1.366999417E0,-9.610015869E-2,1.386117554E-1,9.814939728E0,9.816388863E0
1.376980417E0,-9.400451660E-2,1.375639343E-1,9.815388794E0,9.816802833E0
1.386961417E0,-1.019380188E-1,1.437011719E-1,9.797276459E0,9.798860515E0
1.396942417E0,-1.038839722E-1,1.441502380E-1,9.802216187E0,9.803826464E0
1.406924417E0,-9.175918579E-2,1.462458801E-1,9.811197510E0,9.812716453E0
1.416905417E0,-9.220825195E-2,1.383123779E-1,9.807155914E0,9.808564615E0
1.426886417E0,-1.005908203E-1,1.414558411E-1,9.804461517E0,9.805997854E0
1.436867417E0,-9.565109253E-2,1.444496155E-1,9.804311829E0,9.805842404E0
1.446848417E0,-1.020877075E-1,1.396595764E-1,9.802665253E0,9.804191591E0
1.456830417E0,-9.490264893E-2,1.390608215E-1,9.808952179E0,9.810396897E0
1.466811417E0,-8.801696777E-2,1.448986816E-1,9.811796265E0,9.813260852E0
1.476792417E0,-9.624984741E-2,1.411564636E-1,9.803862762E0,9.805351307E0
1.486773417E0,-9.954299927E-2,1.362167358E-1,9.809251556E0,9.810702315E0
1.496754417E0,-9.520202637E-2,1.432521057E-1,9.802066498E0,9.803575481E0
1.506736417E0,-9.595046997E-2,1.303788757E-1,9.806557159E0,9.807893172E0
1.516717417E0,-9.894424438E-2,1.432521057E-1,9.807455292E0,9.809000481E0
1.526698417E0,-9.639953613E-2,1.396595764E-1,9.803413696E0,9.804882343E0
1.536679417E0,-1.022373962E-1,1.315763855E-1,9.810748444E0,9.812163363E0
1.546661417E0,-9.864486694E-2,1.442999268E-1,9.805509338E0,9.807067180E0
